#Digilent WaveForms Network Analyzer - Bode
#Device Name: Joseph_Pizziment
#Serial Number: SN:210321AA2C2A
#Date Time: 2026-04-24 14:52:27.576
#Start: 0.15 Hz
#Stop: 100 Hz
#Steps: 101
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 2
#Range: 5.46954 V
#Offset: -0.000265056 V
#Relative: yes

Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
0.15,-28.43979408030906,-109.5451686272067
0.1600775196643811,-28.51341530628362,-110.0578640523312
0.1708320820126685,-28.15078351535035,-110.9843902801103
0.1823091731179339,-28.08568278150636,-113.7691042419987
0.1945573349652208,-27.76864050372586,-113.1785346781295
0.2076283707582977,-26.63996711863493,-117.7630900787167
0.221577564019632,-26.02035290806417,-122.0193912410857
0.2364639124102552,-25.65444509095421,-122.3431345199964
0.2523503772584604,-25.30630449660571,-127.9534292785586
0.2693041498527008,-24.55331871216266,-128.0755733628615
0.2873969356249675,-24.69892495348585,-131.2299758102622
0.3067052574265906,-24.19266434861943,-134.2086291299843
0.3273107791791603,-23.52054099190536,-137.348536880009
0.3493006512694394,-23.1590819248302,-140.9568434314304
0.3727678791490981,-22.95263907823654,-144.0816568954799
0.3978117166982624,-22.56224150265233,-147.6263990554531
0.4245380860165819,-21.81940586504794,-152.0375727167783
0.45306002541732,-21.34551663724094,-155.0373679761065
0.4834981675192395,-21.00606539835709,-159.9185573896827
0.515981249458355,-20.5451067629033,-163.8803992403146
0.5506466573774781,-20.0808245066437,-168.0229940988071
0.587641007496459,-19.63067899256937,-171.7495683498729
0.6271207662207405,-18.99549768040793,-176.9789947519027
0.6692529119109486,-18.52301505616872,178.8302939177614
0.7142156411124602,-17.8762278139557,174.2235500423095
0.7621991222319223,-17.21084892300859,169.1633843551561
0.8134062998483632,-16.36748963776116,165.1452330981004
0.8680537530607176,-15.71324317852984,160.8276285663072
0.9263726115021118,-14.36487840437178,153.5712702012626
0.9886095328951553,-12.86041362755251,148.4780156765108
1.055027746282791,-10.7123393223901,141.1550860344422
1.125908165347007,-7.425999151668546,135.4576517898985
1.20155057652415,-0.7442932492136671,98.17149485355424
1.282274906941953,1.666060209682177,18.25114997815548
1.368422577540952,-12.81573199201069,-8.134288845887738
1.460357947103296,-12.58650457669791,-39.70585976224805
1.558469853296419,-17.58339465909788,-43.47427666912013
1.66317325724935,-20.61389813712625,-45.25775615960319
1.774910998617369,-23.13473419544186,-48.9330843049498
1.894155668557987,-25.42287362052185,-53.94414650867805
2.021411608539931,-27.32478988851846,-52.71880105451487
2.157217043439057,-30.03607282804067,-54.49539488768494
2.302146357943023,-31.4540314325024,-55.3083379367846
2.456812525892716,-33.23084617269907,-52.08420784305905
2.621869702835258,-36.00922728557934,-51.05423550479226
2.798015992753704,-36.31493534170177,-50.69114382804871
2.985996400675224,-38.6818843110144,-42.88561290173929
3.186605983645725,-38.22359734313471,-45.39721348679063
3.400693213397884,-38.34918119544257,-55.07267228451749
3.629163564934846,-39.4705048831937,-47.21279390053263
3.872983346207417,-40.27701778111424,-44.10153380924294
4.133183785082251,-39.51845481643592,-25.46117634671218
4.410865390886699,-40.1263099725158,-12.91746252386082
4.707202608977354,-43.9313865015724,-1.303147485007486
5.02344878801865,-39.0145891306768,-13.30643670006503
5.360941480980443,-43.05275396755778,-6.374727816686629
5.721108102274949,-46.00504611476403,2.949499319108369
6.105471964959778,-42.88042236414394,-14.46465386881972
6.515658723541169,-41.30385039815339,-8.190071774610196
6.953403249627045,-41.01387627921616,7.230868738366638
7.420556969510295,-45.56011957991551,2.845797874175702
7.919095694716288,-42.51959185638764,8.266042496498955
8.451127978633741,-41.09943596159349,-2.813988435825863
9.018904034572955,-45.00254245889737,7.273126587657785
9.624825252970112,-41.47172356715187,-4.160099177065561
10.27145435799036,-43.14847663756439,-11.97828216117786
10.96152624648662,-41.86750010765462,-13.13537660891532
11.69795955515727,-41.17147982560947,-0.3452095908221224
12.48386900482547,-42.54552833890589,-11.8504901024422
13.32257857405002,-42.62168882766731,-1.877294164735659
14.21763555778502,-42.72337522183876,1.697575221474423
15.17282557054889,-39.87649631328635,1.157488896716714
16.19218855755842,-42.46755543436579,-0.08081868733813735
17.28003588154615,-40.39920202313166,-3.320883775603569
18.44096855752941,-41.47835473299284,5.084099363949264
19.6798967126543,-39.56239981494983,5.412170323129445
21.00206035341937,-42.25671038373584,-4.984355906488659
22.41305152811337,-43.08185567640679,-11.34076812943412
23.91883797820234,-40.64521085429115,21.0757673629797
25.52578837869886,-43.03485778414974,-8.582449620316766
27.24069927426662,-40.41999487109371,-10.95093836141986
29.07082382498602,-41.09147574470182,4.929846332556608
31.02390248335968,-41.7016625750638,3.097919634158984
33.10819573230563,-42.3902622557602,-9.200577374244851
35.3325190226022,-40.74653584976065,-8.609222429714627
37.70628005755145,-41.73443831816406,2.15154576537266
40.23951858255565,-41.77652478453589,1.359525273595352
42.94294884789517,-40.82543638183382,4.632775618155648
45.82800492430297,-42.65319482076681,2.480715237296593
48.90688906299638,-40.41818717134632,-2.709006577763688
52.19262330470333,-40.19665409713713,5.278263504686919
55.69910455596185,-39.85347792998469,-4.8449890900485
59.44116336563595,-41.42193073959221,-27.02977774150656
63.43462665024181,-42.31937439076069,32.10872235605122
67.69638463337827,-39.38684984512415,-6.819789859001958
72.24446228238072,-43.34438252273671,-10.20271071382454
77.09809554433619,-42.06403491391207,0.7170863914116126
82.27781270389866,-42.5566987199222,19.76704275330212
87.80552120700395,-40.01770956048713,-26.37890437286572
93.70460031770263,-39.92412945832462,10.13965313556359
100,-41.88824251344472,13.76245887671072
